id	text	expected	category	tags	note
BV0001	我这里有课程资料，可以私聊，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0002	我这里有课程资料，可以私聊，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0003	我这里有课程资料，可以私聊，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0004	我这里有课程资料，可以私聊，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0005	我这里有课程资料，可以私信，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0006	我这里有课程资料，可以私信，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0007	我这里有课程资料，可以私信，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0008	我这里有课程资料，可以私信，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0009	我这里有课程资料，可以看我主页，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0010	我这里有课程资料，可以看我主页，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0011	我这里有课程资料，可以看我主页，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0012	我这里有课程资料，可以看我主页，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0013	我这里有课程资料，可以进群，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0014	我这里有课程资料，可以进群，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0015	我这里有课程资料，可以进群，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0016	我这里有课程资料，可以进群，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0017	我这里有课程资料，可以低价出售，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0018	我这里有课程资料，可以低价出售，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0019	我这里有课程资料，可以低价出售，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0020	我这里有课程资料，可以低价出售，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0021	我这里有课程资料，可以发你，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0022	我这里有课程资料，可以发你，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0023	我这里有课程资料，可以发你，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0024	我这里有课程资料，可以发你，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0025	我这里有课程资料，可以扫码领取，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0026	我这里有课程资料，可以扫码领取，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0027	我这里有课程资料，可以扫码领取，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0028	我这里有课程资料，可以扫码领取，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0029	我这里有课程资料，可以加好友，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0030	我这里有课程资料，可以加好友，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0031	我这里有课程资料，可以加好友，别在公开评论区细问。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0032	我这里有课程资料，可以加好友，长期稳定可以安排。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0033	我这里有课程资料，可以按条收费，需要的直接说。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
BV0034	我这里有课程资料，可以按条收费，名额不多先到先得。	risk	spam_fraud	blog,spam,resource_diversion	blog comment risk scenario matrix
