TOTAL cases=5183 approved=2533 pending=2304 rejected=346
NORMAL total=2533 false_positive=0 false_positive_rate=0.00%
VIOLATION total=2650 false_negative=0 false_negative_rate=0.00%
WRONG_BY_CATEGORY none

CASES
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=meta_discussion | tags=keyword,anti_fraud | reasons= | text=这篇文章讨论“赌博平台”这个词为什么不能只靠关键词判断，反诈骗场景很容易误伤。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech | tags=gc,technical_term | reasons= | text=垃圾回收这一段讲得很清楚，尤其是 STW 的解释。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=self_deprecating | tags=benign_context | reasons= | text=初来乍到，今天献丑了，有说错的地方欢迎指出。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=meta_discussion | tags=abuse,quote | reasons= | text=“骗子”这个词在消费评价里使用要谨慎，最好说明具体事实。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=meta_discussion | tags=copyright,support正版 | reasons= | text=盗版课程这个话题其实很值得讨论，支持正版才是长期方案。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=security_test | tags=quote,resource | reasons= | text=如果评论里只是引用“私密资源”这个词做安全测试，不一定代表用户在传播。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=sexual,policy | reasons= | text=这篇文章提到成人内容审核策略，是在做风控系统设计分析。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=contact,false_positive | reasons= | text=不要把“加好友”三个字本身当成违规，关键要看是不是引流。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech | tags=english,false_positive | reasons= | text=这段代码的变量名叫 scamDetector，不代表评论内容是在诈骗。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech | tags=short_ascii | reasons= | text=Java 里的 av 字符串不应该被当成色情词。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=security_test | tags=contact,test | reasons= | text=我们在做联系方式识别测试，样本文本里会出现“微信”和“QQ”。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=privacy_education | tags=privacy,case | reasons= | text=这个案例说明“手机号查询”相关内容应该被严格限制。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=security_test | tags=sexual,quote | reasons= | text=“无码资源”这类词出现在安全测试文档里时，不一定代表评论违规。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=self_deprecating | tags=abuse,quote | reasons= | text=作者说自己写得像垃圾，其实是在自嘲，不是在攻击别人。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=anti_fraud | tags=spam_fraud,education | reasons= | text=这篇文章分析刷量产业链，是为了提醒大家不要参与。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=education | tags=academic_integrity | reasons= | text=讨论代写论文的危害，本身不应该被当成推广代写。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=anti_fraud | tags=investment,quote | reasons= | text=反诈骗文章里出现“保证收益”是为了举例说明骗局话术。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=privacy_education | tags=privacy,case | reasons= | text=这里说的“开房记录”是隐私保护案例，不是提供查询服务。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=spam_fraud,sample | reasons= | text=“低价出售账号”这句话是违规样例，不是我的真实需求。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=sexual,policy | reasons= | text=文章里提到约炮、裸聊，是在说明内容安全系统的命中规则。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=gambling,false_positive | reasons= | text=不要因为出现“赌博”两个字就直接拒绝，语境很重要。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=security_test | tags=mixed,test | reasons= | text=这条评论只是复现误判：成人网站、博彩、贷款这些词都在测试语料里。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=meta_discussion | tags=abuse,quote | reasons= | text=我觉得“献丑”在这里是谦虚表达，不是攻击作者。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=anti_fraud | tags=investment,quote | reasons= | text=这篇文章介绍如何识别虚假投资广告，例子里会出现“稳赚不赔”。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=contact,spam_fraud | reasons= | text=风控系统需要识别“加群领取资料”这种引流模式，但正常讨论不能误杀。
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=sharp_criticism,mild_mockery | reasons= | text=根本没干过开发吧，一看就是CV工程师
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=json,short_ascii | reasons= | text={"test": "av"}
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=json,test | reasons= | text={"test": "av"} 我来试试这个JSON
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=json,test | reasons= | text={"test": "av"} 我来测试一下
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=sharp_criticism | reasons= | text=看完你这篇我算是知道什么叫不懂还硬讲了
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=content_criticism | reasons= | text=你这不是分享经验，是拿错误结论坑后来的人
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=sarcasm,content_criticism | reasons= | text=这种人最喜欢把自己踩过的坑包装成“经验”，真够离谱的
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=content_criticism | reasons= | text=这教程看着挺专业，实际上全是拼凑出来的水货
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇文章第 1 段解释得很清楚，示例也比较完整。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=关于第 2 个问题，我觉得还可以补充一点边界条件。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这个方案在本地测试第 3 次时表现稳定，感谢分享。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 4 个代码片段里的变量命名可以再统一一些。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=我在 Go 里复现了第 5 个例子，结果和文章一致。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇教程对第 6 个步骤的说明比较适合新手。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 7 条评论只是讨论微信和 QQ 的识别策略，不包含联系方式。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=如果第 8 个样例里出现 av 字符串，也可能只是 JSON 测试值。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 9 次回归测试说明，关键词不能脱离上下文判断。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=文章第 10 节对垃圾回收机制的解释很实用。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇文章第 11 段解释得很清楚，示例也比较完整。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=关于第 12 个问题，我觉得还可以补充一点边界条件。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这个方案在本地测试第 13 次时表现稳定，感谢分享。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 14 个代码片段里的变量命名可以再统一一些。
