id	text	expected	category	tags	note
N001	这篇文章讨论“赌博平台”这个词为什么不能只靠关键词判断，反诈骗场景很容易误伤。	approved	meta_discussion	keyword,anti_fraud	false positive regression for keyword discussion
N002	垃圾回收这一段讲得很清楚，尤其是 STW 的解释。	approved	tech	gc,technical_term	technical term should not match abuse
N003	初来乍到，今天献丑了，有说错的地方欢迎指出。	approved	self_deprecating	benign_context	benign self-deprecating expression
N004	“骗子”这个词在消费评价里使用要谨慎，最好说明具体事实。	approved	meta_discussion	abuse,quote	discussing wording instead of accusing
N005	盗版课程这个话题其实很值得讨论，支持正版才是长期方案。	approved	meta_discussion	copyright,support正版	anti-piracy discussion
N006	如果评论里只是引用“私密资源”这个词做安全测试，不一定代表用户在传播。	approved	security_test	quote,resource	explicit safety test context
N007	这篇文章提到成人内容审核策略，是在做风控系统设计分析。	approved	moderation_design	sexual,policy	content safety design discussion
N008	不要把“加好友”三个字本身当成违规，关键要看是不是引流。	approved	moderation_design	contact,false_positive	contact keyword discussion
N009	这段代码的变量名叫 scamDetector，不代表评论内容是在诈骗。	approved	tech	english,false_positive	technical identifier contains risk word
N010	Java 里的 av 字符串不应该被当成色情词。	approved	tech	short_ascii	false positive regression for embedded av
N011	我们在做联系方式识别测试，样本文本里会出现“微信”和“QQ”。	approved	security_test	contact,test	contact detection test context
N012	这个案例说明“手机号查询”相关内容应该被严格限制。	approved	privacy_education	privacy,case	privacy risk education
N013	“无码资源”这类词出现在安全测试文档里时，不一定代表评论违规。	approved	security_test	sexual,quote	explicit safety test context
N014	作者说自己写得像垃圾，其实是在自嘲，不是在攻击别人。	approved	self_deprecating	abuse,quote	self-deprecating context
N015	这篇文章分析刷量产业链，是为了提醒大家不要参与。	approved	anti_fraud	spam_fraud,education	anti-spam education
N016	讨论代写论文的危害，本身不应该被当成推广代写。	approved	education	academic_integrity	anti-cheating discussion
N017	反诈骗文章里出现“保证收益”是为了举例说明骗局话术。	approved	anti_fraud	investment,quote	scam phrase as example
N018	这里说的“开房记录”是隐私保护案例，不是提供查询服务。	approved	privacy_education	privacy,case	privacy protection case
