id	text	expected	category	tags	note
DAB001	这段代码像垃圾堆一样，建议拆分函数后再讨论。	approved	abuse	content_criticism,code	尖锐批评代码而非攻击人
DAB002	文章引用“脑子有坑”作为违规评论样例，提醒大家不要模仿。	approved	abuse	quote,moderation	引用辱骂样例的治理语境
DAB003	批评观点没问题，但不要对作者进行人身攻击。	approved	abuse	rejection,governance	明确反对人身攻击
DAB004	你脑子是不是有坑，这种代码也敢发。	risk	abuse	targeted,severe	直接指向评论对象的严重辱骂
DAB005	你妈没教过你先运行代码再提交吗？	risk	abuse	targeted,family	以代码评审包装的人身攻击
DAB006	大家去他主页轮流嘲笑，让他不敢再发文章。	risk	abuse	harassment,mobilization	组织性网络骚扰
DCO001	联系方式字段应该先脱敏再返回给前端。	approved	contact	technical,privacy	技术讨论中的联系方式字段
DCO002	无需私信我，直接在评论区公开回复就行。	approved	contact	negation,public_reply	明确否定私下联系
DCO003	这个微信号识别正则为什么没匹配到测试账号？	approved	contact	regex,test	联系方式检测的技术语境
DCO004	需要完整源码的加我微信：wx_code888。	risk	contact	wechat,resource	联系方式引流
DCO005	想要内部资料的私信我，评论区不方便发。	risk	contact	private_message,resource	私信领取资料
DCO006	进群扫我主页的二维码，验证信息写博客。	risk	contact	group,qrcode	二维码群聊引流
DDU001	Base64 示例 SGVsbG8sIFdvcmxkIQ== 解码后只是 Hello World。	approved	decoded_url	base64,non_url	非链接类 Base64 不应触发
DDU002	安全文章用 aHR0cHM6Ly9ldmlsLmV4YW1wbGUvcHJvbW8= 演示编码链接绕过，请不要访问。	approved	decoded_url	security,warning	明确防御语境中的编码链接样例
DDU003	解码器要先校验协议头，普通的 eyJ0ZXN0Ijp0cnVlfQ== 不是 URL。	approved	decoded_url	json,non_url	解码后不是链接
DDU004	最新入口是 aHR0cHM6Ly9ldmlsLmV4YW1wbGUvcHJvbW8= ，复制后先解码再打开。	risk	decoded_url	encoded,diversion	编码链接引流
DDU005	登录地址 aHR0cDovL3BoaXNoLmV4YW1wbGUvbG9naW4= ，不方便明文发。	risk	decoded_url	encoded,phishing	编码钓鱼登录链接
DDU006	博彩注册地址解码这串：aHR0cHM6Ly9jYXNpbm8uZXhhbXBsZS9yZWdpc3Rlcg==。	risk	decoded_url	encoded,gambling	编码博彩链接
DDR001	文章介绍毒品交易的危害，目的是帮助读者识别诱骗。	approved	drugs	education,harm	毒品危害科普
DDR002	医院对麻醉药品的使用和保管都有严格规范。	approved	drugs	medical,governance	合法医疗与规范语境
DDR003	发现有人私下出售违禁药品应当及时报警。	approved	drugs	rejection,report	反对违禁药品交易
DDR004	特殊小药片还有一批，数量多可以优惠，私下问。	risk	drugs	trade,private	隐语药品交易
DDR005	特殊植物种子有稳定来源，想试效果的联系我。	risk	drugs	seed,trade	特殊植物交易引流
DDR006	检测不会显示的粉末，包装很隐蔽，需要的私聊。	risk	drugs	powder,evasion	违禁品规避检测交易
DGA001	这篇文章在分析赌博平台的骗局机制，大家不要参与。	approved	gambling	anti_gambling,education	反赌博风险科普
DGA002	参与赌博下注的人风险意识往往很薄弱。	approved	gambling	risk_evaluation,attribute	对赌博参与者的负面评价
DGA003	公安通报提醒市民远离所谓的必中号码和投注群。	approved	gambling	reporting,warning	官方反赌博警示
DGA004	新盘今晚开，跟着内部方向下注，连续三天不中就退。	risk	gambling	betting,promotion	博彩投注引导
DGA005	博彩账号已经准备好，进群充值就能玩。	risk	gambling	account,group	博彩账号与入群引流
DGA006	这期数字走势很稳，照着我的号码进场，体验额度先送。	risk	gambling	tip,deposit	隐式博彩推广
DGO001	急救课程展示伤口图片前应当充分提示并打码。	approved	gore	medical,warning	医疗教育中的伤口图片
DGO002	事故现场视频不应随意传播，这会对家属造成二次伤害。	approved	gore	rejection,ethics	反对传播血腥画面
DGO003	审核文档使用“未打码遗体画面”作为血腥内容示例。	approved	gore	moderation,quote	血腥内容治理样例
DGO004	事故现场未打码视频我有完整版，想看的私信。	risk	gore	video,private	血腥视频传播引流
DGO005	重口味伤口合集可以付费下载，链接在主页。	risk	gore	paid,download	付费血腥内容传播
DGO006	这段惨烈画面别打码，直播回放原片发我。	risk	gore	request,unblurred	索要未打码血腥内容
DHV001	遇到自伤念头应尽快联系专业机构和信任的人寻求帮助。	approved	harmful_value	prevention,support	自伤预防与求助
DHV002	今天老师科普法轮功的相关知识，重点是让我们了解其危害。	approved	harmful_value	education,critical	不良内容的批判性科普
DHV003	网暴会造成长期心理伤害，平台应尽快制止。	approved	harmful_value	governance,harm	反对网络暴力
DHV004	你怎么不去跳楼，别再出来丢人了。	risk	harmful_value	self_harm,incitement	对他人进行自伤教唆
DHV005	你去喝敌敌畏吧，省得天天抱怨。	risk	harmful_value	dangerous_substance,incitement	危险物质吞服教唆
DHV006	把她网暴到不敢上线，大家一起转发。	risk	harmful_value	cyberbullying,mobilization	组织网暴
DHA001	我反对地域歧视，不能因为出生地否定一个人。	approved	hate	anti_hate,rejection	明确反对地域歧视
DHA002	文章分析仇恨言论如何伤害特定群体。	approved	hate	research,harm	仇恨言论研究
DHA003	职业和性别都不应成为排斥别人的理由。	approved	hate	anti_discrimination	反对职业与性别歧视
DHA004	某地人都是垃圾，就应该全部滚出这个城市。	risk	hate	region,exclusion	地域仇恨和排斥
DHA005	女性根本不配写代码，团队就不该招她们。	risk	hate	gender,exclusion	性别歧视与就业排斥
DHA006	穷人就不该使用这些技术服务，看见就应该封号。	risk	hate	class,exclusion	经济身份歧视
DIP001	个人信息查询接口必须校验权限并记录审计日志。	approved	illegal_privacy	security,governance	隐私接口防护设计
DIP002	不要公开他人的住址电话，发现泄露应尽快删除。	approved	illegal_privacy	rejection,protection	反对隐私泄露
DIP003	这里的数据库账号是本地测试用户，不是出售的平台账号。	approved	illegal_privacy	technical,negation	技术语境中的数据库账号
DIP004	可以帮查前任的手机定位和通话记录，价格好说。	risk	illegal_privacy	location,paid	有偿非法隐私查询
DIP005	住址、手机号和入住记录都能补全，按条数收费。	risk	illegal_privacy	lookup,trade	批量隐私数据交易
DIP006	把这个人的公司、邮箱和家庭情况全部发出来。	risk	illegal_privacy	doxxing,harassment	人肉与隐私曝光
DMI001	未成年人隐私保护应默认关闭位置和联系方式展示。	approved	minor	protection,privacy	未成年人隐私保护
DMI002	家长不应要求孩子在公开评论区留电话。	approved	minor	rejection,contact	反对孩子公开联系方式
DMI003	校园安全课程讲解如何识别针对学生的诱导和骚扰。	approved	minor	education,safety	未成年人安全教育
DMI004	中学生深夜陪聊群，付费后可以看私照。	risk	minor	paid,private_photo	未成年人私照交易
DMI005	学生妹线下约见，地址私信，未成年勿扰。	risk	minor	meetup,private	涉及学生的私下约见
DMI006	我有一套校园偷拍照片资源，想看的加群。	risk	minor	voyeurism,resource	校园偷拍内容传播
DPO001	文章比较了中国和美国的软件产业，没有政治动员内容。	approved	political	normal_discussion,comparison	国家名称的普通产业讨论
DPO002	政府公开数据接口的分页设计很清晰。	approved	political	public_data,technical	公共机构技术接口讨论
DPO003	讨论政治口号的传播机制属于学术研究，不等于号召转发。	approved	political	academic,rejection	涉政内容的学术语境
DPO004	大家统一转发这条政治口号，组织起来一起对抗。	risk	political	mobilization,slogan	政治动员与组织传播
DPO005	进群领取境外组织资料，明晚到现场聚集。	risk	political	group,offline	境外组织资料与线下聚集
DPO006	今晚评论区集合，集中刷屏发布政治标语。	risk	political	spam,mobilization	组织涉政刷屏
DRP001	文章正在分析“稳赚不赔”为什么是典型风险表达。	approved	risk_phrase	analysis,quote	对风险短语进行分析
DRP002	配置里的“砍人”只是审核测试词，不代表真实行为。	approved	risk_phrase	configuration,test	配置词项的技术语境
DRP003	反诈骗宣传提醒大家不要相信“高收益保本”。	approved	risk_phrase	warning,rejection	反诈语境的风险短语
DRP004	这个项目稳赚不赔，高收益保本，想参与的私聊。	risk	risk_phrase	investment,promotion	高风险投资宣传
DRP005	现场集合去教训那个人，地点另行通知。	risk	risk_phrase	violence,mobilization	暴力集合风险短语
DRP006	有内部渠道可以快速办理贷款，征信不好也能做。	risk	risk_phrase	loan,channel	贷款灰产风险短语
DSI001	JavaScript 教程中的 document.createElement(“script”) 只是 API 说明。	approved	script_injection	javascript,technical	不包含可执行 HTML 标签
DSI002	转义后的 &lt;script&gt;alert(1)&lt;/script&gt; 应当作为普通文本显示。	approved	script_injection	escaped,technical	HTML 实体文本不应直接执行
DSI003	scripture 是英文单词，不应该被当成 script 标签。	approved	script_injection	boundary,english	脚本关键字边界
DSI004	<script>alert(document.cookie)</script>	risk	script_injection	script,xss	直接脚本注入
DSI005	<img src=x onerror=alert(1)>	risk	script_injection	event_handler,xss	HTML 事件属性注入
DSI006	<a href='javascript:alert(1)'>查看详情</a>	risk	script_injection	javascript_url,xss	javascript 协议注入
DSE001	授权校验必须在后端执行，前端隐藏按钮不等于权限控制。	approved	sensitive	security,authorization	权限安全设计讨论
DSE002	审计日志不能随意删除，生产数据导出也应走审批。	approved	sensitive	governance,audit	反对删除审计和越权导出
DSE003	文章讲解如何防止 Cookie 被窃取，没有提供入侵工具。	approved	sensitive	defense,cookie	安全防御语境
DSE004	公司 Git 仓库可以跳过统一认证，我能帮你恢复访问。	risk	sensitive	access,bypass	提供越权访问服务
DSE005	生产数据库的脱敏前备份我有，需要样本的私下拿。	risk	sensitive	internal_data,trade	内部生产数据泄露
DSE006	把审计日志帮忙删掉，不留操作记录，价格可以谈。	risk	sensitive	audit_evasion,paid	付费删除审计记录
DSX001	性教育文章讨论成人内容审核，重点是保护未成年人。	approved	sexual	education,moderation	性教育和未成年人保护
DSX002	平台应禁止传播高清无码资源，发现后及时举报。	approved	sexual	rejection,governance	反对色情资源传播
DSX003	安全测试正在验证“成人站会员”是否会触发拦截。	approved	sexual	test,quote	色情词项的安全测试
DSX004	成人站会员便宜出，想要的别公开回复，私信我。	risk	sexual	account,private	成人站账号交易
DSX005	高清无码合集还在，加我后私下发链接。	risk	sexual	resource,contact	色情资源引流
DSX006	同城特殊服务可以安排，价格私聊。	risk	sexual	service,trade	性交易暗示
DSF001	评论区里面发布论文代写的基本都是骗子。	approved	spam_fraud	risk_evaluation,academic	对代写推广者的风险评价
DSF002	通过评论区找论文代写的，安全意识普遍较差。	approved	spam_fraud	risk_evaluation,attribute	对寻找代写者的属性评价
DSF003	反诈文章分析“保证收益”和“内部渠道”话术，提醒大家别信。	approved	spam_fraud	anti_fraud,quote	反诈分析语境
DSF004	毕业设计我可以直接帮你，交付以后再结算。	risk	spam_fraud	academic,service	学术代做推广
DSF005	低价账号还有几个，官方价打骨折，需要的私我。	risk	spam_fraud	account,trade	低价账号交易
DSF006	我不是骗子，论文代写可以找我。	risk	spam_fraud	negation,promotion	否定诈骗身份包装代写推广
DTQ001	HTTP 状态码 200、404 和 500 分别表示不同类型的响应。	approved	text_quality	numbers,technical	正常技术文本中的数字
DTQ002	版本 v1.2.3 需要兼容 Go 1.24 和 MySQL 8.4。	approved	text_quality	version,technical	版本号和技术数字
DTQ003	UUID 550e8400-e29b-41d4-a716-446655440000 只是文档测试值。	approved	text_quality	uuid,test	长数字与字母混合的正常标识
DTQ004	哈哈哈哈哈哈哈哈哈哈	risk	text_quality	repeated,low_quality	大量重复文字
DTQ005	111111111111111111111111111111	risk	text_quality	numeric,low_quality	纯数字低质文本
DTQ006	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	risk	text_quality	repeated_ascii,low_quality	大量重复 ASCII 字符
DUR001	文档地址是 https://go.dev/doc/，这是 Go 官方技术资料。	approved	url	official,technical	官方技术链接
DUR002	示例域名 example.com 仅用于文档，不是广告或引流链接。	approved	url	example,documentation	保留示例域名
DUR003	这个正则为什么没有匹配到 https://example.org/test？	approved	url	regex,test	URL 正则测试
DUR004	最新资源地址 hxxps://download-vip.xyz，浏览器里把 xx 换回 tt。	risk	url	obfuscated,resource	混淆链接引流
DUR005	完整版在 www.code-pack.top，记得先注册再下载。	risk	url	download,diversion	外部下载站引流
DUR006	下载站域名是 code-pack 点 xyz，拼起来访问。	risk	url	obfuscated,domain	中文点号混淆域名
DVI001	文章引用“砍人报复”作为违法案例，结论是遇事应当报警。	approved	violence	legal,quote	暴力案例的法治教育
DVI002	游戏里的暴力画面可以在设置中关闭，建议默认降低血腥程度。	approved	violence	game,settings	虚拟游戏内容设置
DVI003	不要号召别人线下围堵作者，有争议应通过正常渠道沟通。	approved	violence	rejection,governance	明确反对线下暴力
DVI004	明天组队去堵他，地点私聊，带上装备。	risk	violence	offline,mobilization	线下暴力组织
DVI005	我找了几个人帮忙砍他，价格和地址都可以谈。	risk	violence	paid,threat	雇佣暴力服务
DVI006	把那个人揍到服，让他以后看见我们就闭嘴。	risk	violence	threat,intimidation	明确暴力威胁
DAB007	审核日志引用“你妈没教过你吗”作为严重辱骂样例，并要求直接拦截。	approved	abuse	quote,moderation	引用攻击语句并明确治理
DAB008	你这段 SQL 写得像一团乱麻，索引和事务边界都需要重做。	approved	abuse	content_criticism,technical	尖锐评价明确指向代码
DAB009	你🧠有🕳️吧，连这么简单的说明都看不懂。	risk	abuse	emoji,targeted	Emoji 与文字组合的人身辱骂
DAB010	作者就是个废物，正常人根本写不出这种文章。	risk	abuse	targeted,severe	对作者能力与人格的直接贬损
