id	text	expected	category	tags	note
V001	想要内部资料的看我主页，别在评论区问。	risk	spam_fraud	resource,profile	implicit resource diversion
V002	资源放在头像签名里了，懂的自己去拿。	risk	spam_fraud	resource,profile	implicit resource diversion
V003	需要账号的私下说，价格比官方低很多。	risk	spam_fraud	account_trade,private	account sale
V004	有偿帮查个人信息，能查到不少公开渠道没有的东西。	risk	illegal_privacy	privacy,paid	paid personal information query
V005	需要快速上分的可以找我，真人操作稳定。	risk	spam_fraud	boosting,game	boosting service
V006	不方便明说，想看的去我主页第一个动态。	risk	spam_fraud	profile,implicit	implicit diversion
V007	课程资料打包好了，留个暗号我发你。	risk	spam_fraud	resource,code_word	resource delivery
V008	有些平台会员我这边长期有，走老方式。	risk	spam_fraud	account_trade	membership account sale
V009	想要刺激内容的别公开问，私下发。	risk	sexual	private,resource	sexual content diversion
V010	可代做项目和作业，时间紧也能安排。	risk	spam_fraud	academic_cheating	assignment outsourcing
V011	那个网站地址不能直接发，去签名里看缩写。	risk	spam_fraud	url_obfuscation,profile	hidden URL diversion
V012	需要贷款渠道的可以聊，资料不全也能做。	risk	spam_fraud	loan,gray_channel	loan gray channel
V013	有一批实名账号，适合测试用，懂的来。	risk	spam_fraud	account_trade	real-name account trade
V014	想查住址电话的别问细节，能做但要收费。	risk	illegal_privacy	privacy,paid	paid address phone query
V015	论文和毕业设计都能处理，保证不查重。	risk	spam_fraud	academic_cheating	academic cheating
V016	看不懂文章的可以加我，顺便送一套资料。	risk	spam_fraud	contact,resource	resource diversion
V017	有些资源不适合放评论区，进群再说。	risk	spam_fraud	group,resource	group diversion
V018	想要特殊陪聊渠道的，自己看我昵称。	risk	sexual	channel,nickname	sexual gray channel
V019	这类东西不能明说，懂的人自然知道怎么联系。	risk	spam_fraud	implicit_contact	implicit contact
V020	可以帮忙处理差评和负面内容，按条收费。	risk	spam_fraud	paid_service	paid reputation manipulation
V021	需要刷评论、收藏、关注的可以安排真实账号。	risk	spam_fraud	brush,account	engagement manipulation
V022	有渠道能弄到开房记录，只做熟人介绍。	risk	illegal_privacy	privacy,channel	privacy data query
V023	成人站会员便宜出，别公开回复。	risk	sexual	account_trade	adult account sale
V024	游戏账号和会员账号都有，安全稳定。	risk	spam_fraud	account_trade	account sale
V025	想线下教训那个人的可以组个局，别在这里细聊。	risk	violence	offline,threat	offline violence invitation
V026	这作者脑子是不是有🕳️，这都能写错	risk	abuse	insult,emoji	evasive insult with emoji
V027	你这水准也敢出来教人？6⃣️了	risk	abuse	insult,emoji	insult with styled digit emoji
V028	装大佬装得飞起，实际啥也不懂	risk	abuse	insult	insult against author competence
V029	纯纯骗流量的，别再误导新人了	risk	abuse	insult	abusive accusation
V030	这教程写得跟💩一样，真的服	risk	abuse	insult,emoji	abuse with emoji substitution
V032	真d0g啊，这种低级错误也能犯	risk	abuse	insult,leet	leet abuse
V033	别zhuang懂了好吗，看得脑壳疼	risk	abuse	insult,pinyin	evasive pinyin insult
V034	懂个🔨还在这指导别人	risk	abuse	insult,emoji	abuse with emoji substitution
V035	这文章我看完只能说：yyds，反向教学	risk	abuse	sarcasm	sarcastic negative attack
V036	真🐮🍺，连自己代码都没跑过	risk	abuse	insult,emoji	abuse with emoji substitution
V037	你这水平去面试，怕是第一轮都过不了	risk	abuse	insult	competence attack
V038	这人是真能装，满篇都是“我很懂”	risk	abuse	insult,mockery	mocking competence
V039	垃圾文章，纯纯的流量密码	risk	abuse	insult	abusive content attack
V040	作者这脸皮也是没谁了	risk	abuse	insult	insult
V041	这种内容发出来不嫌丢人吗	risk	abuse	insult	insult
V042	根本没搞明白就在这教别人，笑死	risk	abuse	insult	competence attack
V043	别再祸害新人了，真的求你了	risk	abuse	insult	abusive accusation
V044	这篇文章看着就像复制粘贴AI生成的	risk	abuse	insult	low-quality accusation
V045	一股子“懂王”味儿，实际上啥也不会	risk	abuse	insult,mockery	mocking competence
V046	mianfei领资料，进群就有全套	risk	spam_fraud	pinyin,resource,group	pinyin obfuscated resource diversion
V047	免费领，真的不要米，懂的来	risk	spam_fraud	resource,obfuscation	free resource diversion
V048	编程zi源包，想要的私我	risk	spam_fraud	pinyin,resource,private	pinyin obfuscated resource diversion
V049	内部jiaocheng，老用户都知道	risk	spam_fraud	pinyin,course	evasive course material promotion
V050	低价出ChatGPT，ckx的别来	risk	spam_fraud	account_trade	account sale
V051	Claude号还有几个，y要的私	risk	spam_fraud	account_trade,private	account sale
V052	chatgpt账号便宜甩，官方价打骨折	risk	spam_fraud	account_trade	account sale
V053	bihua出号，长期稳，不会的教你	risk	spam_fraud	account_trade,obfuscation	account sale
V054	论文d写，b业d设，啥专业都能接	risk	spam_fraud	academic_cheating,obfuscation	academic cheating
V055	毕设不会搞？d做，速度快	risk	spam_fraud	academic_cheating,obfuscation	academic cheating
V056	考试da案有，懂得私	risk	spam_fraud	academic_cheating,pinyin	exam answer sale
V057	作业不会？d做，别熬夜了	risk	spam_fraud	academic_cheating,obfuscation	assignment outsourcing
V058	游戏d练d打，刷f、刷p都接	risk	spam_fraud	boosting,obfuscation	game boosting
V059	想快速上f的来，包效率	risk	spam_fraud	boosting,obfuscation	game boosting
V060	刷l刷z，真人号操作，数据好看	risk	spam_fraud	brush,obfuscation	engagement manipulation
V061	评论、点赞、收藏、关注，一条龙	risk	spam_fraud	brush	engagement manipulation
V062	快速上热门，数据不好看可以给你“优化”	risk	spam_fraud	brush,traffic	engagement manipulation
V063	投资q拉人，内部qd，懂的都懂	risk	spam_fraud	investment,obfuscation	investment group diversion
V064	稳赚不赔，🈚️风险，真有项目	risk	spam_fraud	investment,emoji	investment scam
V065	贷款急用的来，sfz发我，秒批	risk	illegal_privacy	loan,privacy,obfuscation	loan with ID data
V066	身份证照片发过来，今天就能办	risk	illegal_privacy	privacy,loan	ID photo request
V067	成.人.网.站会员，懂的来	risk	sexual	account_trade,obfuscation	adult account sale
V068	高.清.无.码资源，私发	risk	sexual	resource,obfuscation	sexual resource
V069	无m资源还有，想看的私	risk	sexual	resource,obfuscation	sexual resource
V070	私m资源，+我好友直接发	risk	sexual	resource,contact,obfuscation	sexual resource diversion
V071	博彩号，赌z下注的来	risk	gambling	account_trade,obfuscation	gambling account
V072	下注技巧内部教，稳赚不赔	risk	gambling	investment,gambling	gambling instruction
V073	博彩账号现成的，进群就能玩	risk	gambling	account_trade,group	gambling account group
