# Comment moderation report
# Generated by: go test ./app/service/comment -run TestCommentModerationReportCorpus -v

## Scoring Basics
审核引擎使用 risk_score（风险分）：从 0 开始，分数越高风险越高。
报告里的 final_score 是便于查看的安全分：final_score = max(0, 100 - risk_score)。
决策阈值：risk_score < 40 => approved；40 <= risk_score < 80 => pending；risk_score >= 80 => rejected。
扣分项：敏感词库=40；结构规则=40；上下文规则=40；行为风险=40；硬拒信号=80。
低质内容扣分：纯符号/空内容=40；纯数字=40；长重复字符=40。
说明：同一类命中多个明细时只扣一次，例如命中多个敏感词仍按敏感词库扣一次。

TOTAL cases=61 approved=61 pending=0 rejected=0

## Top Reasons

## Details
001 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这篇文章的结构很清楚，前后逻辑也顺畅。
002 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=感谢分享，里面的示例对我排查问题很有帮助。
003 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个观点我不完全同意，但作者的论证很完整。
004 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=请问这里的配置项有没有默认值说明？
005 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我按照文中的步骤试了一遍，可以正常运行。
006 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这段代码如果抽成函数，后续维护会不会更方便？
007 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=文章里的图表如果能放大查看就更好了。
008 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个问题我之前也遇到过，最后是缓存导致的。
009 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=感谢作者整理，收藏了。
010 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这里是不是可以补一个边界条件的例子？
011 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我觉得这个实现思路比较稳妥。
012 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=读完之后对整个流程清楚很多。
013 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个工具在本地开发环境下也可以使用吗？
014 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=文章中提到的版本号需要固定吗？
015 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这部分如果加上性能数据会更直观。
016 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我更关心线上部署时的资源占用。
017 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这里的异常处理看起来比较合理。
018 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=请问后续会补充更多实战案例吗？
019 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个接口命名挺直观的。
020 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=配置拆分后确实更容易定位问题。
021 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我用 Chrome 测试了一下显示正常。
022 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=移动端页面的间距看起来也不错。
023 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个按钮文案可以再明确一点。
024 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=搜索结果排序符合预期。
025 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=表格列宽现在比之前舒服很多。
026 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=如果能支持导出 CSV 就更好了。
027 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=后台列表加载速度有明显改善。
028 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=登录流程现在顺畅了。
029 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个提示信息对用户比较友好。
030 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我建议把说明文字放在输入框下面。
031 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这里的颜色对比度还可以再高一点。
032 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=页面刷新后状态能保持，体验不错。
033 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这次改动没有影响原有数据。
034 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我在本地跑了测试，没有发现问题。
035 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个字段是否需要加索引？
036 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=数据库迁移脚本需要单独评审吗？
037 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这条评论只是普通反馈，不包含联系方式。
038 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我想了解一下这个功能的使用限制。
039 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=文章内容很扎实，感谢维护。
040 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个案例适合放进文档首页。
041 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=如果有英文版文档会更方便。
042 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我觉得当前方案比之前清晰。
043 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这里可以补一张架构图。
044 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个错误码的含义能否说明一下？
045 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=接口返回结构保持一致很好。
046 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=日志里能看到 request id，排查方便。
047 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这次发布的变更点比较明确。
048 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=单元测试覆盖了主要分支。
049 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这个函数名表达得很准确。
050 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=没有复现你说的问题，我再看看环境差异。
051 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=建议把超时时间写进配置。
052 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=这篇教程适合新同事阅读。
053 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=如果能提供 Docker 示例就好了。
054 | status=approved | risk_score=  0 | final_score=100 | deductions=none                                                                                                                     | 原始评论=我关注的是内存占用和冷启动时间。
