TOTAL cases=4287 approved=2017 pending=583 rejected=1687
NORMAL total=2017 false_positive=0 false_positive_rate=0.00%
VIOLATION total=2270 false_negative=0 false_negative_rate=0.00%
MANUAL_EDGE total=100 approved=53 pending=8 rejected=39 normal=53 false_positive=0 false_positive_rate=0.00% violation=47 false_negative=0 false_negative_rate=0.00%
WRONG_BY_CATEGORY none

CASES
ok | id=N001 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=meta_discussion | tags=keyword,anti_fraud | reasons=decision_engine:risk:0.0141 | text=这篇文章讨论“赌博平台”这个词为什么不能只靠关键词判断，反诈骗场景很容易误伤。
ok | id=N002 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech | tags=gc,technical_term | reasons=decision_engine:risk:0.0000 | text=垃圾回收这一段讲得很清楚，尤其是 STW 的解释。
ok | id=N003 | corpus=normal | expected=approved | actual=approved | risk_score=11 | category=self_deprecating | tags=benign_context | reasons=decision_engine:risk:0.1116 | text=初来乍到，今天献丑了，有说错的地方欢迎指出。
ok | id=N004 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=meta_discussion | tags=abuse,quote | reasons=decision_engine:risk:0.0057 | text=“骗子”这个词在消费评价里使用要谨慎，最好说明具体事实。
ok | id=N005 | corpus=normal | expected=approved | actual=approved | risk_score=11 | category=meta_discussion | tags=copyright,support正版 | reasons=decision_engine:risk:0.1116 | text=盗版课程这个话题其实很值得讨论，支持正版才是长期方案。
ok | id=N006 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=security_test | tags=quote,resource | reasons=decision_engine:risk:0.0057 | text=如果评论里只是引用“私密资源”这个词做安全测试，不一定代表用户在传播。
ok | id=N007 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=sexual,policy | reasons=decision_engine:risk:0.0000 | text=这篇文章提到成人内容审核策略，是在做风控系统设计分析。
ok | id=N008 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=contact,false_positive | reasons=decision_engine:risk:0.0037 | text=不要把“加好友”三个字本身当成违规，关键要看是不是引流。
ok | id=N009 | corpus=normal | expected=approved | actual=approved | risk_score=10 | category=tech | tags=english,false_positive | reasons=decision_engine:risk:0.0984 | text=这段代码的变量名叫 scamDetector，不代表评论内容是在诈骗。
ok | id=N010 | corpus=normal | expected=approved | actual=approved | risk_score=16 | category=tech | tags=short_ascii | reasons=decision_engine:risk:0.1620 | text=Java 里的 av 字符串不应该被当成色情词。
ok | id=N011 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=security_test | tags=contact,test | reasons=decision_engine:risk:0.0000 | text=我们在做联系方式识别测试，样本文本里会出现“微信”和“QQ”。
